Player,Team,batting_score,bowling_score,overall_score,Overall E(D),Season,Season_Adj,Player_team,Player_team_season
Mandeep Singh,Kings XI Punjab,-9.26,0,-9.26,-9.26,2013,2013,Mandeep Singh|Kings XI Punjab,Mandeep Singh|Kings XI Punjab|2013
NLTC Perera,Sunrisers Hyderabad,221.21,-1472.34,-1251.13,-1251.12,2013,2013,NLTC Perera|Sunrisers Hyderabad,NLTC Perera|Sunrisers Hyderabad|2013
P Awana,Kings XI Punjab,-4.28,262.98,258.7,258.7,2013,2013,P Awana|Kings XI Punjab,P Awana|Kings XI Punjab|2013
P Kumar,Kings XI Punjab,8.59,352.59,361.18,361.18,2013,2013,P Kumar|Kings XI Punjab,P Kumar|Kings XI Punjab|2013
PA Patel,Sunrisers Hyderabad,331.84,0,331.84,331.84,2013,2013,PA Patel|Sunrisers Hyderabad,PA Patel|Sunrisers Hyderabad|2013
PP Chawla,Kings XI Punjab,-2.5,325.3,322.8,322.81,2013,2013,PP Chawla|Kings XI Punjab,PP Chawla|Kings XI Punjab|2013
PP Ojha,Mumbai Indians,-0.4,276.6,276.2,276.2,2013,2013,PP Ojha|Mumbai Indians,PP Ojha|Mumbai Indians|2013
R Ashwin,Chennai Super Kings,5.68,423.86,429.54,429.54,2013,2013,R Ashwin|Chennai Super Kings,R Ashwin|Chennai Super Kings|2013
R Bhatia,Kolkata Knight Riders,9.23,148.21,157.44,157.44,2013,2013,R Bhatia|Kolkata Knight Riders,R Bhatia|Kolkata Knight Riders|2013
R Dravid,Rajasthan Royals,-30.34,0,-30.34,-30.34,2013,2013,R Dravid|Rajasthan Royals,R Dravid|Rajasthan Royals|2013
R Rampaul,Royal Challengers Bangalore,-5.22,216.41,211.19,211.18,2013,2013,R Rampaul|Royal Challengers Bangalore,R Rampaul|Royal Challengers Bangalore|2013
R Vinay Kumar,Royal Challengers Bangalore,14.76,138.57,153.33,153.33,2013,2013,R Vinay Kumar|Royal Challengers Bangalore,R Vinay Kumar|Royal Challengers Bangalore|2013
RA Jadeja,Chennai Super Kings,20.34,230.78,251.12,251.13,2013,2013,RA Jadeja|Chennai Super Kings,RA Jadeja|Chennai Super Kings|2013
RG Sharma,Mumbai Indians,49.71,13.28,62.99,62.99,2013,2013,RG Sharma|Mumbai Indians,RG Sharma|Mumbai Indians|2013
RP Singh,Royal Challengers Bangalore,0,115.79,115.79,115.79,2013,2013,RP Singh|Royal Challengers Bangalore,RP Singh|Royal Challengers Bangalore|2013
RV Uthappa,Pune Warriors,577.87,0,577.87,577.87,2013,2013,RV Uthappa|Pune Warriors,RV Uthappa|Pune Warriors|2013
S Dhawan,Sunrisers Hyderabad,1.58,0,1.58,1.58,2013,2013,S Dhawan|Sunrisers Hyderabad,S Dhawan|Sunrisers Hyderabad|2013
SE Marsh,Kings XI Punjab,-1.21,0,-1.21,-1.21,2013,2013,SE Marsh|Kings XI Punjab,SE Marsh|Kings XI Punjab|2013
